Country,Year,comp_1,comp_2,comp_3,comp_4,comp_5
Afghanistan,2015,0.07596426006812983,0.9240102132033532,2.5526728467608097e-5,4.937976590099511e-14,9.523918648466116e-26
Albania,2015,0.03162533704908995,0.03932772088126866,0.9006378311878984,0.028409110862130504,1.9612616484769924e-11
Algeria,2015,0.020261428508440985,0.00817890729079831,0.8508892316628172,0.12067043204828302,4.896602915572906e-10
Angola,2015,0.02514823111865299,0.9571227084189977,0.01772903668614139,2.3776208468911078e-8,1.7147321669254336e-23
Argentina,2015,0.005111237434916101,4.0672928176285816e-5,0.19241773122500339,0.8024291454444293,1.2129674750628377e-6
Armenia,2015,0.0415956084838955,0.28011541843364723,0.6780132120182184,2.757610642393394e-4,8.43584980874525e-18
Australia,2015,0.0046582575293688125,2.283098909896976e-10,7.737874307171562e-7,6.682274381684652e-7,0.9953403002274522
Austria,2015,0.007962938365630919,7.15414900711495e-8,8.497042113681393e-4,0.010886694935550265,0.9803005909459604
Azerbaijan,2015,0.024943659551794603,0.01252088759255377,0.864397695684161,0.09813775658325616,5.882346422223283e-10
Bahrain,2015,0.04083423183917144,5.900230073989105e-5,0.1264683430849992,0.8180496592409304,0.014588763534158744
Bangladesh,2015,0.11262619807768896,0.8446916363693405,0.04267837427851665,3.7912744481349434e-6,5.825956927580863e-15
Belarus,2015,0.011836810735219184,3.894298368175167e-4,0.3621217488056436,0.6256509781038264,1.0325184933369488e-6
Belgium,2015,0.02239339916765383,7.331046868612324e-7,0.015173910202055866,0.33534608651250103,0.6270858710131022
Benin,2015,0.036572202226942054,0.962886884477262,5.409132395877452e-4,5.620834345989203e-11,4.0535594559732437e-23
Bhutan,2015,0.9695462365311057,0.014791415702980372,0.01555182141179775,9.76837581685689e-5,1.2842595947919358e-5
Bolivia,2015,0.145880988512983,0.03777173470099364,0.7360364483479203,0.08031031879783537,5.096402679097545e-7
Bosnia and Herzegovina,2015,0.04380907803383951,0.21490701736110093,0.7396221857071333,0.0016617188979165883,9.880352507084757e-15
Botswana,2015,0.08851599262889016,0.46504474037098653,0.4456896564674149,7.496105324029238e-4,3.057141368283905e-13
Brazil,2015,0.013066171508780255,4.625857751451355e-5,0.1332730471957487,0.8532201686030586,3.943541148978552e-4
Bulgaria,2015,0.01934182001737904,0.024308772934776894,0.9428169943137119,0.013532412734068277,6.372690143336386e-14
Burkina Faso,2015,0.055706779328649675,0.9405664735757268,0.0037267385419745354,8.553649215732369e-9,2.3242743374372743e-19
Burundi,2015,0.023574678664886085,0.9764179611253718,7.360209741742814e-6,2.283054883214044e-16,2.549203508365618e-33
Cambodia,2015,0.6291143205858946,0.3644236659840484,0.006461684439863648,3.2898486764858313e-7,5.3254822661324806e-12
Cameroon,2015,0.0760311407234996,0.8929856884784042,0.030981897829030467,1.2729690651603038e-6,2.0315715989607887e-16
Canada,2015,0.00549293895663241,3.815438544789076e-10,1.0804683998696363e-6,8.971862794519346e-7,0.9945050830071448
Chad,2015,0.020274033836711586,0.9787901600355093,9.358060647164614e-4,6.306268728316372e-11,2.153781246993372e-25
Chile,2015,0.10734929997882135,3.022190232122324e-4,0.21383931798441833,0.6613520604038842,0.017157102609663865
China,2015,0.015154311077662656,0.004202874206693021,0.8224600154691097,0.15818279890412426,3.42410474253394e-10
Colombia,2015,0.014403639400059143,2.8345870462028464e-4,0.28747985901838924,0.6978229853265645,1.0057550366956641e-5
Comoros,2015,0.043991196568960285,0.9492490946317302,0.006759684331428968,2.4467880624657572e-8,1.4104937280292883e-19
Costa Rica,2015,0.04058772445509897,1.2187577842754649e-5,0.06647715903032529,0.7686205301733064,0.1243023987634268
Croatia,2015,0.013380073203973084,0.006125924737339565,0.9464197190971236,0.034074282961403045,1.6058264776579625e-13
Cyprus,2015,0.054571092042611125,0.002843677460047309,0.5197970810365916,0.4227732360864444,1.4913374305766426e-5
Czech Republic,2015,0.004116131560699631,2.377978456559711e-5,0.20364950303790216,0.7922104080445284,1.7757230430206676e-7
Denmark,2015,0.0023904976385331032,2.1666293261446792e-11,1.7488997526954636e-7,1.770311207362467e-7,0.9976091504187043
Dominican Republic,2015,0.12306184871611667,0.010766976782830015,0.6443125261941067,0.2218471964817884,1.1451825158049305e-5
Ecuador,2015,0.024305203209650288,0.001031409688062643,0.42802370148515023,0.5466347638093446,4.921807792236065e-6
El Salvador,2015,0.022403802485361245,0.004877979231173573,0.7442570930038478,0.2284611116993234,1.3580293898052755e-8
Estonia,2015,0.007923825709959092,1.9574826586733434e-4,0.3276500069613861,0.6642300817178755,3.373449120759624e-7
Ethiopia,2015,0.135998091857076,0.8553951838422844,0.008606599993881952,1.2430675726305934e-7,5.195514289343423e-16
Finland,2015,0.0012841111884214283,3.433610057452909e-10,8.699901855771246e-6,8.02576174090364e-5,0.9986269309489529
France,2015,0.007217485956454805,1.0629737847457748e-6,0.03714981417449931,0.9495835153408728,0.006048121554388077
Gabon,2015,0.046243428467141384,0.3039571527662282,0.64910700346065,6.924153059792815e-4,1.0850784004989365e-15
Georgia,2015,0.22941584645594446,0.3630690070604754,0.4055455786811502,0.001969567409187044,3.932430279666271e-10
Germany,2015,0.01634430564810052,3.7579199065897747e-7,0.004076098353570692,0.057966445273433295,0.9216127749329047
Ghana,2015,0.08308604631188035,0.860448328783549,0.05646056095829064,5.063946278721057e-6,1.1352737176167415e-15
Greece,2015,0.02195224075030764,0.00841330076906784,0.9677626142736362,0.0018718442069881522,1.9518870061426886e-18
Guatemala,2015,0.24384003477734287,0.012220687728532314,0.5651558191776151,0.17869451276363368,8.894555287612753e-5
Guinea,2015,0.07549593264461958,0.9243954601956156,1.0860715765382994e-4,2.1106955192134937e-12,2.5905259855467932e-23
Haiti,2015,0.409956109988995,0.5895854128130706,4.5847689982089746e-4,2.9811306420574637e-10,6.712764225253785e-17
Honduras,2015,0.10766295785467542,0.2178515175937853,0.6682508334073838,0.006234691057315886,8.68394714592301e-11
Hungary,2015,0.013244424316537908,0.004353870855494299,0.8853083955040465,0.09709330930763921,1.6281870901653953e-11
Iceland,2015,0.002823786809088172,3.963496991880461e-9,4.8244739550555135e-5,4.030308106248171e-4,0.9967249336772392
